UMCIndex	NETClassRep	UMCMonoMW
552	0.2426	1047.582869
553	0.2427	728.298329
554	0.2426	948.531518
555	0.2428	1230.636074
556	0.2426	1378.746045
557	0.2427	718.999028
558	0.2428	1285.558865
559	0.2428	1296.657321
560	0.2438	868.502031
561	0.2429	1528.725951
562	0.2438	656.349336
563	0.2429	994.57125
564	0.2431	1596.708544
565	0.2429	1827.854256
566	0.2435	1424.631352
567	0.2433	2035.897347
568	0.2429	852.46445
569	0.2431	1089.536353
570	0.2431	1346.767785
571	0.243	968.601991
572	0.2432	1268.601121
573	0.2436	1413.699607
574	0.2434	1477.543701
575	0.2434	2849.261498
576	0.2439	1032.571806
577	0.2436	2293.129808
578	0.2438	1108.614365
579	0.2439	515.793755
580	0.2444	932.535102
581	0.244	1901.069846
582	0.2444	706.367975
583	0.2443	948.531354
584	0.2447	1031.587327
585	0.2446	607.300001
586	0.2446	819.452303
587	0.2446	1217.643713
588	0.2446	1964.12214
589	0.2444	933.036402
590	0.2445	985.448188
591	0.2447	860.414171
592	0.2454	1248.614016
593	0.245	804.423392
594	0.246	1456.714938
595	0.2452	2280.201536
596	0.2455	2497.226515
597	0.2456	607.377861
598	0.2461	892.408149
599	0.2461	1270.655526
600	0.2455	590.351245
601	0.2455	635.409233
602	0.2459	1032.571852
603	0.2456	1198.563413
604	0.2457	725.352581
605	0.2461	917.460811
606	0.2458	515.793824
607	0.2557	841.502225
608	0.2523	1069.64922
609	0.2599	1116.556468
610	0.2517	855.51763
611	0.2517	669.417307
612	0.2505	1122.560331
613	0.2493	446.204127
614	0.2529	428.274959
615	0.2517	2139.298799
616	0.2517	2253.287111
617	0.2523	1183.639525
618	0.2533	1072.659038
619	0.2557	1759.883681
620	0.268	922.531343
621	0.2587	1217.644224
622	0.2581	1122.561351
623	0.2587	536.329227
624	0.266	1262.698346
625	0.2612	1656.787581
626	0.2685	1032.571799
627	0.266	1253.665758
628	0.2685	1415.714332
629	0.2683	869.486018
630	0.268	657.33359
631	0.2686	1583.778914
632	0.2672	427.759065
633	0.2684	924.493347
634	0.2687	2139.99876
635	0.2687	1713.809958
636	0.269	867.471854
637	0.269	981.462708
638	0.2699	836.469059
639	0.2687	2451.251782
640	0.269	1848.933186
641	0.269	3007.466782
642	0.2697	652.347636
643	0.2693	1703.940164
644	0.269	2716.403476
645	0.2693	2571.410903
646	0.2694	863.523039
647	0.2703	869.533489
648	0.2698	836.969697
649	0.2696	2540.408275
650	0.27	555.295196
651	0.2701	838.464272
652	0.2699	1262.698619
653	0.2703	1336.698962
654	0.2701	852.464365
655	0.2703	1298.615492
656	0.2703	631.333001
657	0.2703	2135.082014
658	0.2703	433.735774
659	0.2705	1454.714625
660	0.2705	978.538775
661	0.2708	1603.798451
662	0.2705	536.317251
663	0.2705	1312.595134
664	0.2726	1714.888032
665	0.271	868.47525
666	0.271	1053.403816
667	0.2708	1714.790603
668	0.2709	1069.649708
669	0.2719	1075.512161
670	0.2716	1062.557313
671	0.2721	1490.737796
672	0.2723	1767.801009
673	0.2721	1469.809167
674	0.2732	3429.773013
675	0.2728	1579.822635
676	0.2726	1068.518748
677	0.2743	1302.585199
678	0.2741	1176.672312
679	0.2779	1373.668643
680	0.2739	2140.983444
681	0.2745	1656.787942
682	0.2745	2085.060613
683	0.2762	1345.691105
684	0.2745	1389.663399
685	0.2748	1069.649672
686	0.2758	1434.7469
687	0.2768	1361.686469
688	0.2751	2371.09253
689	0.2764	936.493583
690	0.2751	1244.627054
691	0.276	1006.46529
692	0.276	1398.602102
693	0.2774	2122.973269
694	0.277	695.430425
695	0.2774	1106.52813
696	0.2762	1516.775407
697	0.2772	2665.254755
698	0.277	1354.673858
699	0.2762	1573.78499
700	0.2772	723.461772
701	0.2772	700.385697
702	0.2781	1082.587623
703	0.2781	1631.790851
704	0.2777	1748.788508
705	0.2772	1764.773387
706	0.2788	851.475787
707	0.2792	940.465436
708	0.2792	749.360876
709	0.2777	1389.66406
710	0.2777	1938.873021
711	0.2792	868.444723
712	0.2794	737.374714
713	0.2795	993.377265
714	0.2788	943.474158
715	0.2788	563.281675
716	0.2792	940.966475
717	0.279	1689.82485
718	0.2788	954.443443
719	0.2788	1878.915686
720	0.279	471.737241
721	0.2793	1808.908297
722	0.2798	1356.760607
723	0.2793	1807.900053
724	0.2798	1389.76157
725	0.2798	2297.22266
726	0.2798	1186.656596
727	0.2798	2713.521553
728	0.2801	2509.154115
729	0.2806	1427.679262
730	0.2801	2156.109657
731	0.2807	1000.581861
732	0.2804	1409.715759
733	0.2803	936.493296
734	0.2806	1459.669402
735	0.2805	883.486843
736	0.2807	942.41029
737	0.2804	2854.34574
738	0.2807	1032.572171
739	0.2811	1702.83847
740	0.2808	2426.245941
741	0.2808	688.366275
742	0.2806	2428.258687
743	0.2815	1192.670758
744	0.2809	1708.808819
745	0.281	2703.418849
746	0.2812	3405.672957
747	0.2812	1001.574891
748	0.2814	2895.505971
749	0.2815	2194.245459
750	0.2811	500.291306
751	0.2815	2385.340175
752	0.2811	2704.417444
753	0.2814	881.449214
754	0.2815	980.517521
755	0.2814	3386.91559
756	0.2819	1015.654493
757	0.2826	1377.725345
758	0.2824	941.449692
759	0.2835	1593.730515
760	0.2828	1206.650474
761	0.2831	739.456763
762	0.2849	1605.847103
763	0.2828	470.724796
764	0.2835	818.312957
765	0.2853	1340.661946
766	0.2842	3199.576078
767	0.2858	794.410357
768	0.2849	3211.691763
769	0.2849	1288.646376
770	0.2862	1535.684206
771	0.2858	580.279503
772	0.2856	681.327015
773	0.2859	3141.531321
774	0.2858	2330.092635
775	0.2875	1304.70871
776	0.2862	3071.36805
777	0.2858	2876.343964
778	0.2869	2840.393817
779	0.2866	769.848754
780	0.2875	3134.439181
781	0.2871	810.406203
782	0.2914	902.559126
783	0.2888	863.47698
784	0.2879	1076.599534
785	0.2884	1703.820903
786	0.29	920.4981
787	0.2884	941.449887
788	0.2884	783.609403
