MassTagID,FeatureID,STAC_Score,Mass_Error,NET_Error,UP
11173,573,0.9862,-0.2822,-0.0031,1.0000
11085,576,0.2186,7.8378,0.0020,1.0000
21723,578,0.9863,0.2345,-0.0029,1.0000
1117,580,0.9841,-1.4357,-0.0009,1.0000
11132,580,2.3478E-10,17.1067,-0.0011,0
12241,582,0.9863,-0.4951,-0.0007,1.0000
11984,584,0.9858,-0.2239,-0.0040,1.0000
42630847,584,1.2559E-24,24.1595,0.0295,0
15182,586,0.8671,-0.0973,0.0237,1.0000
12393,587,0.9868,-0.0263,-0.0013,0.9981
15143,587,0.9758,-0.0263,-0.0119,0.0019
1525,591,0.9868,0.1727,0.0002,1.0000
24629,592,5.1751E-12,-17.8395,0.0210,1.0000
1214,593,0.9584,-0.9974,0.0160,1.0000
1052,594,0.9849,-0.5313,-0.0050,1.0000
15635,598,0.9864,0.3049,-0.0026,1.0000
1092,599,0.9840,-0.1299,-0.0067,1.0000
11085,602,0.1959,7.8823,0.0040,1.0000
21314,605,0.9864,0.1904,-0.0029,1.0000
1197,607,0.9854,0.1405,0.0050,1.0000
11586,608,0.9863,-0.2505,-0.0027,1.0000
15705,609,0.9853,0.1352,0.0051,1.0000
14527,610,0.9561,-0.1475,0.0169,1.0000
17174279,617,0.0004,3.9091,-0.0498,1.0000
11070,619,0.9847,-0.8756,-0.0042,1.0000
15143,621,0.9864,0.3934,0.0022,0.9997
12393,621,0.9732,0.3934,0.0128,0.0003
12454,624,0.9843,0.0990,0.0064,1.0000
8227882,625,0.9242,1.2470,-0.0198,1.0000
11085,626,0.0098,7.8310,0.0266,0
1071,631,0.9846,-0.9200,0.0046,1.0000
1025,631,1.3367E-10,13.2628,0.0483,0
11102,634,0.9527,0.0682,-0.0173,1.0000
14526,636,0.9866,0.4355,0.0012,1.0000
1283,638,0.9853,0.0298,0.0051,1.0000
24504,643,2.4598E-07,-9.8406,-0.0478,1.0000
15137,646,0.9748,0.2280,0.0123,1.0000
12454,652,0.9791,0.3152,0.0103,1.0000
11063,653,0.9867,0.2618,0.0012,1.0000
1239,655,0.9864,-0.0493,0.0029,1.0000
38702587,657,0.5873,5.9394,0.0113,1.0000
14617,660,0.9812,0.2311,0.0090,1.0000
1077,661,0.9853,-0.5786,0.0046,1.0000
11073,664,0.9865,-0.5149,0.0013,1.0000
11586,668,0.9611,0.2057,0.0159,1.0000
21486,673,0.0151,9.6653,0.0019,1.0000
7970837,673,0.0013,9.6653,-0.0067,2.2147E-90
10903,676,0.7503,-1.1090,0.0269,1.0000
9284,678,0.9850,-0.3093,0.0054,1.0000
30067024,679,1.9652E-16,-18.3571,-0.0444,1.0000
8227882,681,0.9812,1.4649,-0.0065,1.0000
11058,682,0.9864,0.1938,-0.0027,1.0000
11940,683,0.9852,0.0156,0.0053,1.0000
23069941,684,6.7110E-25,23.5984,0.0428,1.0000
11586,685,0.9309,0.1720,0.0198,1.0000
12535,686,0.9867,0.1952,0.0018,1.0000
7996819,690,0.0022,-10.4343,-0.0066,1.0000
31776330,690,3.6037E-06,9.7749,0.0417,1.2814E-79
31395453,693,1.9945E-07,13.6730,-0.0213,1.0000
4201478,693,1.2224E-15,20.2310,0.0158,0
23070038,697,0.9749,-0.2165,-0.0122,1.0000
28301555,698,0.0030,-10.4755,-0.0037,0
12091,702,0.9819,0.3686,0.0085,1.0000
4208045,702,2.5791E-13,-19.1464,0.0009,0
11056,703,0.9863,0.3579,0.0026,1.0000
22861,706,8.3647E-18,21.5141,0.0162,0
1108,707,0.9837,0.0508,0.0071,1.0000
